name,lng,lat
河塘村(对侧),118.386844,31.408521
褐南村(公交站),118.370479,31.408936
褐南村(对侧),118.369827,31.409002
褐山花苑二期(公交站),118.371141,31.437391
褐山花苑二期(对侧),118.370836,31.437513
褐山花苑一期(公交站),118.367148,31.438772
褐山花苑一期(对侧),118.366837,31.438914
恒泰铜材公司(公交站),118.429375,31.381471
恒泰铜材公司(对侧),118.428829,31.381605
衡山路东(公交站),118.408645,31.450331
衡山路东(对侧),118.409143,31.450167
衡山路口(公交站),118.405904,31.451391
衡山路口(对侧),118.406127,31.451256
红光路北京中路(公交站),118.387349,31.335091
红光路北京中路(对侧),118.387286,31.335880
红花山东路口(公交站),118.390582,31.301580
红花山东路口(对侧),118.391058,31.301773
红花山路(公交站),118.386749,31.302805
红花山路(对侧),118.387149,31.302673
红花山路西干路(公交站),118.400814,31.302518
红花山路西干路(对侧),118.401101,31.302658
红花山路元塘路(公交站),118.394870,31.302609
红花山路元塘路(对侧),118.395211,31.302600
红花山路长江南路(公交站),118.362584,31.302139
红花山路长江南路(对侧),118.363169,31.302208
红花山西路(公交站),118.367878,31.301801
红花山西路(对侧),118.368143,31.301932
红梅新村(公交站),118.374844,31.351861
红梅新村(对侧),118.375134,31.352039
红旗(公交站),118.363559,31.367431
红旗(对侧),118.364066,31.367571
红旗路口(公交站),118.363994,31.364795
红旗路口(对侧),118.363970,31.364978
红星(公交站),118.407951,31.461259
红星(对侧),118.408209,31.461323
花街(公交站),118.386592,31.320217
花街(对侧),118.387192,31.320126
花塘(公交站),118.399136,31.358362
花塘(对侧),118.398870,31.358542
华仑港湾(公交站),118.367546,31.308670
华仑港湾(对侧),118.368112,31.308548
黄山东路(公交站),118.417995,31.329753
黄山东路(对侧),118.418211,31.329800
黄山东路1号站(公交站),118.407120,31.328369
黄山东路1号站(对侧),118.406856,31.328269
黄山东路2号站(公交站),118.401580,31.327704
黄山东路2号站(对侧),118.402088,31.327864
黄山东路3号站(公交站),118.432886,31.330370
黄山东路3号站(对侧),118.433211,31.330400
黄山西路(公交站),118.367509,31.335241
黄山西路(对侧),118.368209,31.335180
黄山园(公交站),118.388687,31.324020
黄山园(对侧),118.389112,31.323848
徽商城(公交站),118.372140,31.332812
徽商城(对侧),118.371851,31.333027
徽州路赤铸山东路(公交站),118.452570,31.361832
徽州路赤铸山东路(对侧),118.452453,31.360543
荟萃中学(公交站),118.381628,31.328498
荟萃中学(对侧),118.382149,31.328373
机场(公交站),118.403580,31.398838
机场(对侧),118.404000,31.398620
吉和路(公交站),118.361024,31.339436
吉和路(对侧),118.360866,31.339261
尖山路嵩山路(公交站),118.394540,31.465729
尖山路嵩山路(对侧),118.395132,31.465841
尖山路泰山路(公交站),118.393716,31.461041
尖山路泰山路(对侧),118.394143,31.461132
健美小区(东行)(公交站),118.362743,31.350464
健美小区(公交站),118.362743,31.350464
健美小区(对侧),118.363154,31.350377
金浩·仁和天地(公交站),118.436567,31.348325
金浩·仁和天地(对侧),118.437125,31.348445
金马门(公交站),118.387810,31.316707
金马门(对侧),118.388130,31.316559
金融中心(公交站),118.429582,31.355418
金融中心(对侧),118.430176,31.355499
金湾(公交站),118.394183,31.395996
金湾(对侧),118.393851,31.395873
金湾小区(公交站),118.391289,31.395074
金湾小区(对侧),118.390869,31.395241
金鹰国际广场(公交站),118.366411,31.316999
金鹰国际广场(对侧),118.365885,31.317151
锦天花苑(公交站),118.365187,31.329501
